Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
10/29/2014,1228.23,1230.35,1208.48,1211.84,-16.41,-1.34%,140530,421571
10/30/2014,1211.9,1216.55,1195.84,1198.54,-13.3,-1.10%,225929,420829
10/31/2014,1198.57,1202.58,1161.37,1172.51,-26.03,-2.17%,325719,416728
11/3/2014,1170.85,1173.51,1161.96,1165.3,-7.21,-0.61%,150134,415523
11/4/2014,1165.23,1174.2,1163.82,1168.13,2.83,0.24%,141670,417377
11/5/2014,1168.3,1169.51,1137.78,1140.03,-28.1,-2.41%,290683,414276
11/6/2014,1143.23,1149.18,1138.08,1141.6,1.57,0.14%,192719,420955
11/7/2014,1141.56,1178.33,1132.01,1177.81,36.21,3.17%,328098,434295
11/10/2014,1177.5,1177.51,1147.18,1151.36,-26.45,-2.25%,233196,443864
11/11/2014,1154.3,1173.03,1146.01,1164.01,12.65,1.10%,219341,443422
11/12/2014,1164.04,1169.86,1157.18,1162.4,-1.61,-0.14%,240400,444599
11/13/2014,1162.22,1167.6,1153.93,1162.19,-0.21,-0.02%,233750,450363
11/14/2014,1162.3,1193.37,1147.04,1189.01,26.82,2.31%,331205,453974
11/17/2014,1188.46,1193.82,1181.54,1186.36,-2.65,-0.22%,239764,457006
11/18/2014,1186.29,1204.32,1183.33,1196.62,10.26,0.86%,203910,459657
11/19/2014,1196.74,1201.98,1176.17,1182.67,-13.95,-1.17%,315371,459559
11/20/2014,1182.36,1196.88,1176.83,1193.42,10.75,0.91%,227000,468051
11/21/2014,1193.47,1207.15,1187.01,1201.11,7.69,0.64%,244086,468748
11/24/2014,1201.18,1204.06,1192.69,1196.77,-4.34,-0.36%,242828,439447
11/25/2014,1196.74,1202.7,1190.79,1200.67,3.9,0.33%,360664,388141
11/26/2014,1200.68,1200.68,1194.86,1197.7,-2.97,-0.25%,208770,376828
11/28/2014,1190.79,1190.88,1165.52,1166.93,-30.77,-2.57%,273164,372859
12/1/2014,1167.13,1220.86,1142.67,1211.76,44.83,3.84%,370132,372025
12/2/2014,1205.67,1210.44,1191.98,1197.98,-13.78,-1.14%,180047,368121
12/3/2014,1197.98,1214.5,1194.47,1209.25,11.27,0.94%,152731,370912
12/4/2014,1209.19,1212.96,1201.32,1204.86,-4.39,-0.36%,122806,368913
12/5/2014,1204.98,1207.3,1186.77,1191.85,-13.01,-1.08%,166645,370120
12/8/2014,1190.65,1208.3,1187.16,1203.18,11.33,0.95%,117879,368630
12/9/2014,1203.19,1237.78,1199.2,1230.8,27.62,2.30%,254496,375323
12/10/2014,1228.99,1237.98,1224.63,1225.93,-4.87,-0.40%,151890,372720
12/11/2014,1225.98,1232.43,1215.99,1227.48,1.55,0.13%,150603,370554
12/12/2014,1227.5,1227.89,1215.37,1221.33,-6.15,-0.50%,131389,373072
12/15/2014,1222.1,1223.97,1191,1192.92,-28.41,-2.33%,157155,373254
12/16/2014,1192.86,1222.73,1187.73,1196.97,4.05,0.34%,251474,378539
12/17/2014,1196.79,1202.63,1184.58,1189.38,-7.59,-0.63%,180948,373815
12/18/2014,1189.27,1213.35,1188.38,1198.26,8.88,0.75%,146373,372834
12/19/2014,1198.29,1201.05,1193.58,1195.37,-2.89,-0.24%,76551,373910
12/22/2014,1195.56,1201.97,1170.64,1176.15,-19.22,-1.61%,138789,374716
12/23/2014,1176.27,1184.68,1172.59,1176.15,0,0.00%,111879,375212
12/24/2014,1176.14,1180.94,1172.82,1174.41,-1.74,-0.15%,49028,372298
12/26/2014,1173.71,1198.89,1173.63,1195.58,21.17,1.80%,70717,374019
12/29/2014,1195.3,1197.13,1178.75,1183.04,-12.54,-1.05%,92964,368899
12/30/2014,1182.97,1209.84,1180.67,1200.18,17.14,1.45%,156772,373982
12/31/2014,1200.18,1203.56,1179.79,1184.03,-16.15,-1.35%,76336,371646
