Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
2/3/2011,2316.67,2327.24,2297.79,2323.07,1.98,0.09%,258078,357211
2/4/2011,2324.18,2338.65,2318.27,2338.2,15.13,0.65%,224231,353055
2/7/2011,2340.44,2360.82,2338.87,2349.2,11,0.47%,240726,354131
2/8/2011,2348.53,2363.76,2344.86,2363.61,14.41,0.61%,187619,350582
2/9/2011,2359.81,2367.19,2352.46,2360.95,-2.66,-0.11%,198842,345645
2/10/2011,2343.79,2366.28,2341.81,2364.35,3.4,0.14%,334265,359970
2/11/2011,2357.77,2381.39,2353.28,2379.14,14.79,0.63%,192959,355305
2/14/2011,2379.52,2388.62,2378.15,2385.6,6.46,0.27%,153364,353379
2/15/2011,2380.15,2384.81,2371.19,2381.92,-3.68,-0.15%,166870,354378
2/16/2011,2389.51,2403.52,2387.65,2397.94,16.02,0.67%,230846,357598
2/17/2011,2384.69,2400.88,2384.22,2397.57,-0.37,-0.02%,197876,364352
2/18/2011,2396.75,2400.47,2382.38,2392.47,-5.1,-0.21%,183976,374482
2/22/2011,2353.81,2366.43,2318.39,2322.86,-69.61,-2.91%,451005,389325
2/23/2011,2321.44,2329.12,2284.64,2300.94,-21.92,-0.94%,408604,363752
2/24/2011,2309.08,2321.2,2285.44,2313.31,12.37,0.54%,362962,365884
2/25/2011,2326.12,2349.51,2325.71,2346.29,32.98,1.43%,244857,376961
2/28/2011,2354.87,2362.79,2338.21,2350.99,4.7,0.20%,232858,368879
3/1/2011,2359.78,2359.98,2308.05,2315.26,-35.73,-1.52%,350807,360389
3/2/2011,2314.28,2340.8,2311.99,2326.77,11.51,0.50%,336592,355268
3/3/2011,2350.52,2375.67,2350.18,2371.76,44.99,1.93%,289779,383134
3/4/2011,2370.34,2371.23,2344.62,2359.96,-11.8,-0.50%,300884,369221
3/7/2011,2367.92,2370.9,2307.38,2328.07,-31.89,-1.35%,406112,365033
3/8/2011,2325.12,2347.51,2310.96,2337.55,9.48,0.41%,369828,363766
3/9/2011,2328.8,2330.68,2309.28,2322.69,-14.86,-0.64%,415856,372604
3/10/2011,2295.09,2300.53,2276.12,2284.29,-38.4,-1.65%,566530,381717
3/11/2011,2275.29,2305.97,2275.07,2299.26,14.97,0.66%,460775,402382
3/14/2011,2286.77,2302.92,2274.08,2290.72,-8.54,-0.37%,528914,419650
3/15/2011,2218.3,2271.58,2217.43,2259.62,-31.1,-1.36%,522949,428273
3/16/2011,2240.83,2252.12,2188.92,2202.97,-56.65,-2.51%,732356,437777
3/17/2011,2238.85,2247.93,2223.12,2225.24,22.27,1.01%,420717,445824
3/18/2011,2249.18,2249.38,2217.95,2221.07,-4.17,-0.19%,356977,281052
3/21/2011,2250.88,2273.11,2249.46,2262.7,41.63,1.87%,250561,277931
3/22/2011,2264.07,2266.09,2253.08,2257.96,-4.74,-0.21%,214290,274824
3/23/2011,2251.49,2276.62,2234.94,2270.5,12.54,0.56%,277234,284917
3/24/2011,2287.01,2315.56,2275.64,2312.09,41.59,1.83%,289480,293534
3/25/2011,2319.07,2331.62,2314.02,2316.36,4.27,0.18%,257040,302286
3/28/2011,2325.12,2326.12,2303.06,2303.1,-13.26,-0.57%,205928,299959
3/29/2011,2299.27,2325.54,2291.78,2325.54,22.44,0.97%,221318,314742
3/30/2011,2338.4,2340.38,2326.79,2336.52,10.98,0.47%,181711,317976
3/31/2011,2332.74,2342.24,2329.62,2338.99,2.47,0.11%,178106,330025
4/1/2011,2352.47,2359.15,2334.95,2342.92,3.93,0.17%,228097,347555
4/4/2011,2347.71,2350.34,2324.02,2334.54,-8.38,-0.36%,213585,360270
4/5/2011,2330.12,2342.34,2323.4,2327.87,-6.67,-0.29%,246478,360997
4/6/2011,2343.37,2352.25,2320.32,2332.34,4.47,0.19%,260191,359220
4/7/2011,2331.74,2346.86,2315.83,2332.87,0.53,0.02%,300029,352845
4/8/2011,2342.74,2345.4,2313.33,2321.18,-11.69,-0.50%,231117,349797
4/11/2011,2330.26,2333.98,2305.53,2314.5,-6.68,-0.29%,224145,348343
4/12/2011,2302.88,2308.2,2288.68,2298.3,-16.2,-0.70%,289998,336108
4/13/2011,2312.8,2322.6,2298.82,2316.62,18.32,0.80%,287692,335172
4/14/2011,2301.27,2315.22,2291.79,2311.25,-5.37,-0.23%,291437,335581
4/15/2011,2304.46,2316.82,2293.53,2307.58,-3.67,-0.16%,237315,332752
4/18/2011,2281.92,2293.08,2254.87,2292.34,-15.24,-0.66%,376393,322595
4/19/2011,2297,2306.77,2286.59,2306.77,14.43,0.63%,226983,315826
4/20/2011,2344.21,2360.69,2344.21,2357.76,50.99,2.21%,307570,344334
4/21/2011,2381.2,2381.2,2370.28,2377.3,19.54,0.83%,242575,352660
4/25/2011,2377.9,2385.03,2375.12,2383.72,6.42,0.27%,115196,354590
4/26/2011,2389.24,2405.23,2384.8,2396.03,12.31,0.52%,226584,365429
4/27/2011,2402.45,2415.85,2390.46,2413.59,17.56,0.73%,213550,380787
4/28/2011,2404.96,2411.98,2398.93,2409.89,-3.7,-0.15%,229634,384613
4/29/2011,2405.05,2415.56,2403.25,2404.08,-5.81,-0.24%,164161,392554
5/2/2011,2410.24,2417.83,2397.48,2404.24,0.16,0.01%,286682,398615
5/3/2011,2401.87,2404.12,2377.33,2392.8,-11.44,-0.48%,287938,412576
5/4/2011,2392.15,2398.46,2367.68,2387.51,-5.29,-0.22%,300895,409791
5/5/2011,2376.46,2402.05,2366.73,2375.21,-12.3,-0.52%,393488,405684
5/6/2011,2395.92,2411.62,2376.14,2383.18,7.97,0.34%,359132,401736
5/9/2011,2384.2,2399.68,2376.96,2390.97,7.79,0.33%,265815,396523
5/10/2011,2397.2,2414.58,2394.84,2411.35,20.38,0.85%,292062,399383
5/11/2011,2408.14,2415.89,2377.43,2393.08,-18.27,-0.76%,297948,383283
5/12/2011,2384.13,2410.45,2372.19,2407.88,14.8,0.62%,288605,392425
5/13/2011,2403.06,2406.01,2378.76,2379.24,-28.64,-1.19%,301057,371905
5/16/2011,2368.47,2375.36,2332.84,2337.85,-41.39,-1.74%,406014,367249
5/17/2011,2325.86,2343.73,2320.33,2343.51,5.66,0.24%,338314,362823
5/18/2011,2340.69,2366.39,2337.48,2362.95,19.44,0.83%,232453,343262
5/19/2011,2369.06,2374.22,2355.39,2369.67,6.72,0.28%,229138,347245
5/20/2011,2365.49,2368.99,2348.73,2351.43,-18.24,-0.77%,257604,348670
5/23/2011,2318.15,2325.86,2306.43,2316.78,-34.65,-1.47%,247842,347370
5/24/2011,2321.59,2322.62,2302.36,2303.55,-13.23,-0.57%,244360,344740
5/25/2011,2299.49,2321.51,2298.72,2310.95,7.4,0.32%,261438,345041
5/26/2011,2306.44,2332.02,2306.11,2325.93,14.98,0.65%,246545,332874
5/27/2011,2328.64,2339.1,2327.32,2336.09,10.16,0.44%,155146,328452
5/31/2011,2359.05,2372.54,2347.23,2372.54,36.45,1.56%,251476,351232
6/1/2011,2368.29,2373.82,2321,2322.48,-50.06,-2.11%,326762,348020
